Adelaide River virus,1
Adeno-associated virus-2,1
Adeno-associated virus-5,1
African green monkey polyomavirus,1
African swine fever virus,3
Aichi virus,1
Alcelaphine herpesvirus 1,4
Alcelaphine herpesvirus 2,1
Aleutian mink disease virus,3
Alkhumra hemorrhagic fever virus,0
Alkhurma virus,1
Allpahuayo mammarenavirus,0
Amapari virus,3
Amur virus,5
Andes orthohantavirus,0
Anopheles A virus,2
Anopheles B virus,1
Apoi virus,7
Araguari virus,1
Aravan lyssavirus,0
Aravan virus,2
Arctic squirrel hepatitis virus,1
Aroa virus,2
Arumowot virus,4
Ateline herpesvirus 1,1
Ateline herpesvirus 2,1
Australian bat lyssavirus,13
BK polyomavirus,1
Baboon orthoreovirus,1
Bagaza virus,5
Bakau virus,2
Bangui virus,1
Banna virus,5
Banzi virus,5
Barmah Forest virus,1
Barmah forest virus,2
Barur virus,1
Batai virus,0
Bayou orthohantavirus,0
Bayou virus,5
Bear Canyon mammarenavirus,0
Bebaru virus,1
Bermejo virus,4
Berrimah virus,1
Bhanja virus,2
Big brushy tank virus,0
Bimiti virus,4
Black Creek Canal orthohantavirus,0
Bluetongue virus,6
Border disease virus,5
Borna disease virus,51
Bouboui virus,4
Bovine adenovirus B,1
Bovine adenovirus C,1
Bovine adenovirus D,1
Bovine adenovirus E,1
Bovine astrovirus,1
Bovine coronavirus,1
Bovine enteric calicivirus strain NB,1
Bovine ephemeral fever virus,1
Bovine foamy virus,1
Bovine herpesvirus 1,7
Bovine herpesvirus 2,5
Bovine herpesvirus 4,6
Bovine herpesvirus 5,1
Bovine leukemia virus,2
Bovine norovirus-CH126,1
Bovine norovirus-Jena,1
Bovine papillomavirus 1,4
Bovine papillomavirus 3,1
Bovine papillomavirus 5,1
Bovine papular stomatitis virus,3
Bovine parainfluenza virus 3,2
Bovine parvovirus,1
Bovine polyomavirus,1
Bovine respiratory syncytial virus,1
Bovine torovirus,1
Bovine viral diarrhea virus 1,22
Bovine viral diarrhea virus 2,3
Bubaline herpesvirus 1,1
Buffalopox virus,0
Bujaru virus,1
Bukalasa bat virus,2
Bundibugyo ebolavirus,0
Bunyamwera virus,35
Bussuquara virus,5
Bwamba orthobunyavirus,0
Bwamba virus,8
Cabassou virus,1
Cache Valley virus,0
Cacipacore virus,3
Calabazo virus,3
California encephalitis virus,2
Callitrichine herpesvirus 1,1
Callitrichine herpesvirus 3,1
Camelpox virus,1
Candiru virus,1
Canid herpesvirus 1,1
Canine adenovirus,2
Canine calicivirus,1
Canine coronavirus,1
Canine distemper virus,9
Canine minute virus,1
Canine oral papillomavirus,1
Cano Delgadito virus,2
Caprine arthritis encephalitis virus,2
Caprine herpesvirus 1,1
Caraparu virus,12
Carey Island virus,2
Catarina virus,0
Catu virus,8
Caviid herpesvirus 1,1
Caviid herpesvirus 2,1
Caviid herpesvirus 3,1
Cercopithecine herpesvirus 1,8
Cercopithecine herpesvirus 12,1
Cercopithecine herpesvirus 14,1
Cercopithecine herpesvirus 15,1
Cercopithecine herpesvirus 17,1
Cercopithecine herpesvirus 2,2
Cercopithecine herpesvirus 5,1
Cercopithecine herpesvirus 8,1
Cercopithecine herpesvirus 9,3
Cervid herpesvirus 1,1
Cervid herpesvirus 2,1
Cetacean morbillivirus,5
Chagres virus,1
Chandipura virus,5
Chandiru virus,0
Changuinola virus,4
Chapare mammarenavirus,0
Chikungunya virus,29
Chipmunk parvovirus,1
Chobar Gorge virus,2
Choclo virus,7
Classical swine fever virus,1
Colorado tick fever virus,11
Cote d'Ivoire ebolavirus,2
Cottontail rabbit papillomavirus,1
Cowbone Ridge virus,1
Cowpox virus,13
Cricetid herpesvirus,1
Crimean-Congo hemorrhagic fever virus,14
Cupixi virus,1
Dakar bat virus,11
Deer adenovirus,3
Deer papillomavirus,2
Dengue virus,53
Dhori virus,7
Dobrava-Belgrade orthohantavirus,0
Dugbe virus,9
Duvenhage lyssavirus,0
Eastern equine encephalitis virus,64
Ebola virus,24
Ectromelia virus,1
Edge Hill virus,1
El Moro Canyon orthohantavirus,0
Encephalomyocarditis virus,35
Entebbe bat virus,13
Enterovirus A,0
Epizootic hemorrhagic disease virus,2
Equid herpesvirus 1,3
Equid herpesvirus 3,1
Equid herpesvirus 4,1
Equid herpesvirus 5,1
Equid herpesvirus 7,1
Equid herpesvirus 8,1
Equid herpesvirus 9,5
Equine arteritis virus,2
Equine foamy virus,1
Equine infectious anemia virus,1
Equine papillomavirus 1,1
Equine rhinitis A virus,2
Equine rhinitis B virus,1
Equine torovirus,1
Eubenangee virus,1
European bat lyssavirus,0
European bat lyssavirus 1,15
European bat lyssavirus 2,8
European brown hare syndrome virus,2
European elk papillomavirus,1
Everglades virus,6
Eyach virus,1
Feline astrovirus,2
Feline calicivirus,2
Feline coronavirus,2
Feline foamy virus,2
Feline immunodeficiency virus,2
Feline leukemia virus,4
Feline panleukopenia virus,2
Feline papillomavirus,1
Flexal virus,4
Foot-and-mouth disease virus,22
GB virus A,6
GB virus B,2
GB virus C,2
Getah virus,12
Gibbon ape leukemia virus,1
Goat adenovirus,1
Goatpox virus,1
Great Island virus,1
Ground squirrel hepatitis virus,1
Guama virus,10
Guanarito mammarenavirus,0
Guanarito virus,5
Guaroa virus,2
Guinea pig adenovirus,1
Guinea pig type-C oncovirus,0
H-1 parvovirus,1
Hamster oral papillomavirus,1
Hamster parvovirus,1
Hamster polyomavirus,1
Hantaan orthohantavirus,0
Hare fibroma virus,0
Hendra henipavirus,0
Hepatitis A virus,2
Hepatitis B virus,4
Hepatitis C virus,1
Hepatitis delta virus,1
Human adenovirus A,2
Human adenovirus B,5
Human adenovirus C,5
Human adenovirus D,2
Human adenovirus E,3
Human adenovirus F,3
Human astrovirus,1
Human coronavirus 229E,1
Human coronavirus OC43,1
Human enterovirus A,3
Human enterovirus B,3
Human enterovirus C,1
Human enterovirus D,3
Human herpesvirus 1,3
Human herpesvirus 2,1
Human herpesvirus 3,1
Human herpesvirus 4,2
Human herpesvirus 5,1
Human herpesvirus 6,1
Human herpesvirus 7,1
Human immunodeficiency virus 1,1
Human immunodeficiency virus 2,1
Human metapneumovirus,3
Human norovirus-Alphatron,3
Human papillomavirus 1,1
Human papillomavirus 10,1
Human papillomavirus 16,1
Human papillomavirus 18,1
Human papillomavirus 2,1
Human papillomavirus 26,1
Human papillomavirus 32,1
Human papillomavirus 34,1
Human papillomavirus 4,1
Human papillomavirus 41,1
Human papillomavirus 48,1
Human papillomavirus 49,1
Human papillomavirus 5,1
Human papillomavirus 50,1
Human papillomavirus 53,1
Human papillomavirus 54,1
Human papillomavirus 6,1
Human papillomavirus 60,1
Human papillomavirus 61,1
Human papillomavirus 63,1
Human papillomavirus 88,1
Human papillomavirus 9,1
Human papillomavirus cand90,1
Human papillomavirus cand92,1
Human papillomavirus cand96,1
Human parainfluenza virus 1,1
Human parainfluenza virus 3,2
Human parainfluenza virus 4,1
Human parechovirus,1
Human picobirnavirus,7
Human polyomavirus,1
Human respiratory syncytial virus,2
Human rhinovirus A,1
Human rhinovirus B,1
Human torovirus,1
Ife virus,1
Igbo-Ora virus,1
Iguape virus,2
Ilheus virus,13
Influenza A virus,5
Influenza B virus,3
Influenza C virus,2
Ippy virus,4
Irkut lyssavirus,0
Isfahan virus,1
Isla Vista hantavirus,0
Issyk-Kul virus,14
JC polyomavirus,1
Jaagsiekte sheep retrovirus,2
Japanaut virus,1
Japanese encephalitis virus,174
Jugra virus,1
Junin mammarenavirus,0
Juquitiba-like virus,4
Jutiapa virus,1
Kaeng Khoi virus,3
Kairi virus,1
Kasokero virus,2
Kern Canyon virus,1
Keuraliba virus,1
Khabarovsk virus,3
Khujand virus,2
Kilham rat virus,1
Kokobera virus,1
Koutango virus,6
Kumlinge virus,7
Kunjin virus,9
Kyasanur Forest disease virus,7
Kyasanur forest virus,22
La Crosse virus,0
Lactate dehydrogenase-elevating virus,1
Lagos bat lyssavirus,0
Laguna Negra orthohantavirus,0
Lake Victoria marburgvirus,5
Langat virus,1
Langur virus,2
Lapine parvovirus,1
Lassa mammarenavirus,0
Latino virus,2
Lebombo virus,3
Ljungan virus,11
Lloviu virus,2
Louping ill virus,8
Louping-ill virus,24
Lujo mammarenavirus,0
Lumpy skin disease virus,2
Lymphocytic choriomeningitis mammarenavirus,0
MERS coronavirus,14
Machupo mammarenavirus,0
Macropodid herpesvirus 1,2
Macropodid herpesvirus 2,2
Madrid virus,1
Main Drain virus,2
Mammalian orthoreovirus,2
Mapuera virus,1
Marburg virus,20
Marituba virus,10
Marmodid herpesvirus 1,1
Mason-Pfizer monkey virus,2
Mastomys natalensis papillomavirus,1
Mayaro virus,3
Measles virus,9
Menangle virus,6
Middelburg virus,1
Middle East respiratory syndrome-related coronavirus,0
Minatitlan virus,2
Mink astrovirus,1
Mink calicivirus,1
Mink enteric sapovirus,1
Minute virus of mice,1
Mobala mammarenavirus,0
Mobala virus,7
Modoc virus,6
Mokola lyssavirus,0
Mokola virus,3
Molluscum contagiosum virus,1
Moloney murine sarcoma virus,1
Monkeypox virus,7
Monongahela virus,3
Montana myotis leukoencephalitis virus,1
Mopeia mammarenavirus,0
Morogoro mammarenavirus,0
Mosso das Pedras virus 78V3531,1
Mount Elgon bat virus,2
Mouse mammary tumor virus,1
Mouse parvovirus 1,1
Mucambo virus,1
Muju virus,15
Muleshoe virus,3
Mumps virus,1
Murid herpesvirus 1,4
Murid herpesvirus 2,7
Murid herpesvirus 3,1
Murid herpesvirus 4,6
Murid herpesvirus 5,1
Murine adenovirus A,1
Murine adenovirus B,1
Murine hepatitis virus,1
Murine leukemia virus,3
Murine norovirus 1,2
Murine pneumonia virus,2
Murine pneumotropic virus,1
Murine polyomavirus,1
Murray Valley encephalitis virus,6
Mustelid herpesvirus 1,2
Myxoma virus,3
Naples virus,0
Nariva virus,1
Ndumu virus,1
Nelson Bay orthoreovirus,2
New York hantavirus,0
Newcastle disease virus,1
Ngari virus,0
Nipah henipavirus,0
Norwalk virus,1
Nyando virus,1
O'nyong-nyong virus,6
Oita virus,1
Oliveros mammarenavirus,0
Omsk hemorrhagic fever virus,13
Oran virus,4
Orf virus,20
Oriboca virus,6
Oropouche virus,3
Orungo virus,1
Ovine adenovirus D,1
Ovine astrovirus,1
Ovine herpesvirus 2,14
Ovine papillomavirus 1,1
Palyam virus,4
Pampa virus,1
Parainfluenza virus 5,3
Parana virus,1
Parapoxvirus of red deer in New Zealand,1
Patois virus,1
Peruvian horse sickness virus,1
Peste-des-petits-ruminants virus,8
Phnom Penh bat virus,2
Phocid herpesvirus 1,1
Phocoena spinipinnis papillomavirus,1
Pichinde virus,2
Picobirnavirus,11
Pig-tailed macaque parvovirus,1
Pinhal virus,0
Pirital mammarenavirus,0
Piry virus,1
Pixuna virus,2
Poliovirus,1
Pongine herpesvirus 1,1
Pongine herpesvirus 2,1
Pongine herpesvirus 3,1
Pongine herpesvirus 4,1
Porcine adenovirus A,1
Porcine adenovirus B,1
Porcine adenovirus C,1
Porcine astrovirus,1
Porcine circovirus-1,1
Porcine circovirus-2,1
Porcine enteric sapovirus,1
Porcine enterovirus A,1
Porcine enterovirus B,1
Porcine epidemic diarrhea virus,1
Porcine hemagglutinating encephalomyelitis virus,1
Porcine parvovirus,1
Porcine reproductive and respiratory syndrome virus,1
Porcine rubulavirus,1
Porcine teschovirus,1
Porcine torovirus,1
Porcine type-C oncovirus,1
Possum adenovirus,1
Powassan virus,5
Primate T-lymphotropic virus 1,7
Primate T-lymphotropic virus 2,2
Primate T-lymphotropic virus 3,7
Prospect Hill orthohantavirus,0
Pseudocowpox virus,6
Punta Toro virus,2
Puumala orthohantavirus,0
Puumala virus,6
Qalyub virus,6
Quaranfil virus,5
Rabbit coronavirus,1
Rabbit fibroma virus,1
Rabbit hemorrhagic disease virus,3
Rabbit kidney vacuolating virus,1
Rabbit oral papillomavirus,1
Rabies lyssavirus,0
Rabies virus,101
Racoonpox virus,2
Rat coronavirus,1
Rat minute virus 1,1
Rat parvovirus 1,1
Reston virus,14
Rhesus macaque parvovirus,1
Rhesus monkey papillomavirus 1,2
Rift Valley fever virus,21
Rinderpest virus,9
Rio Bravo virus,19
Rio Grande virus,1
Rio Mamore hantavirus,0
Rio Segundo virus,1
Rocio virus,3
Ross River virus,11
Rotavirus,0
Rotavirus A,5
Rotavirus B,2
Rotavirus C,3
Rotavirus E,0
Rubella virus,1
SARS coronavirus,24
Sabia virus,2
Saboya virus,4
Saimiriine herpesvirus 1,1
Saimiriine herpesvirus 2,1
Sal Vieja virus,2
Salem virus,1
San Miguel sea lion virus,0
San Perlita virus,2
Sandfly fever Naples virus,2
Sandfly fever Sicilian virus,2
Sapporo virus,1
Sathuperi virus,1
Sciurid herpesvirus 1,1
Sciurid herpesvirus 2,1
Seal parapoxvirus,0
Sealpox virus,2
Semliki Forest virus,3
Semliki forest virus,1
Sendai virus,4
Seoul orthohantavirus,0
Severe acute respiratory syndrome-related coronavirus,7
Shamonda virus,4
Sheeppox virus,2
Shimoni bat lyssavirus,0
Shuni virus,3
Simbu virus,2
Simian adenovirus,2
Simian enterovirus A,4
Simian foamy virus,158
Simian hemorrhagic fever virus,5
Simian immunodeficiency virus,93
Simian parvovirus,1
Simian retrovirus type D,6
Simian virus 10,1
Simian virus 40,2
Sin Nombre orthohantavirus,0
Sindbis virus,7
Sokuluk virus,2
Soromba virus,3
Squirrel adenovirus,1
Squirrel fibroma virus,2
Squirrel monkey retrovirus,1
Squirrel parapoxvirus,2
St. Louis Encephalitis virus,89
St. Louis encephalitis virus,11
Sudan ebolavirus,1
Sudan virus,1
Suid herpesvirus 1,10
Swine norovirus,1
Swine vesicular disease virus,0
Swinepox virus,1
TT virus,26
Tacaiuma virus,1
Tacaribe virus,6
Tahyna virus,0
Tai Forest ebolavirus,4
Tamana bat virus,1
Tamdy virus,17
Tamiami virus,1
Tanapox virus,1
Tataguine virus,1
Taterapox virus,1
Tembusu virus,3
Thailand virus,1
Theilovirus,3
Thiafora virus,1
Thogoto virus,5
Thottapalayam orthohantavirus,0
Tick-borne encephalitis virus,7
Tickborne encephalitis virus,37
Tioman virus,5
Tonate virus,1
Tonto creek virus,0
Topografov virus,1
Torque teno virus,0
Toscana virus,0
Tree shrew adenovirus,1
Tula virus,7
Tupaia paramyxovirus,1
Tupaiid herpesvirus 1,1
Turlock virus,1
Uganda S virus,10
Usutu virus,206
Vaccinia virus,4
Variola virus,1
Venezuelan equine encephalitis virus,103
Vesicular exanthema of swine virus,2
Vesicular stomatitis Alagoas virus,2
Vesicular stomatitis Indiana virus,40
Vesicular stomatitis New Jersey virus,1
Vesicular stomatitis virus,89
Visna/maedi virus,1
Volepox virus,2
Wallal virus,4
Walrus calicivirus,1
Wanowrie virus,1
Warrego virus,3
Wesselsbron virus,11
West Caucasian bat virus,1
West Nile virus,1126
Western equine encephalitis virus,53
Whitewater Arroyo mammarenavirus,0
Whitewater Arroyo virus,12
Witwatersrand virus,2
Woodchuck hepatitis virus,1
Woolly monkey sarcoma virus,1
Wyeomyia virus,2
Yaba monkey tumor virus,2
Yellow fever virus,39
Yogue virus,1
Yokose virus,1
Zaire ebolavirus,21
Zegla virus,1
Zika virus,18
nan virus,1
